klasse;busch;hutFormAlt;hutFormJung;hutOberflaeche;hutUnterseite;hutUnterseiteFarbe;huVerfaerbung;huVerfaerbungFarbe;hutFarbe;stielForm;stielBasis;stielFarbe;stielOberflaeche;stielNetzFlockenFarbe;stielRing;stielBasisVolva;stielHohl;fleischFarbe;fleischVerfaerbung;fleischVerfaerbungFarbe;geruch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hallimasch;ja;gewölbt;kugelig;schuppig;Lamellen;cremefarben;nein;nein;braun;zylindrisch;normal;braun;normal;nein;ja;nein;ja;bräunlich;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hallimasch;ja;gewölbt;kugelig;schuppig;Lamellen;cremefarben;nein;nein;gelbbraun;zylindrisch;normal;bräunlich;normal;nein;ja;nein;ja;bräunlich;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hallimasch;ja;gewölbt;kugelig;schuppig;Lamellen;cremefarben;nein;nein;honiggelb;zylindrisch;normal;hellbraun;normal;nein;ja;nein;ja;bräunlich;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stockschwämmchen;ja;gewölbt;gewölbt;normal;Lamellen;zimtbraun;nein;nein;gelbbraun;zylindrisch;normal;weiss-braun;schuppig;braun;ja;nein;nein;bräunlich;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stockschwämmchen;ja;gewölbt;gewölbt;normal;Lamellen;braun;nein;nein;gelbbraun;zylindrisch;normal;weiss-braun;schuppig;dunkelbraun;ja;nein;nein;bräunlich;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stockschwämmchen;ja;gewölbt;gewölbt;normal;Lamellen;braun;nein;nein;honiggelb;zylindrisch;normal;weiss-braun;schuppig;braun;ja;nein;nein;bräunlich;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parasol;nein;ausgestreckt;kugelig;schuppig;Lamellen;weiss;nein;nein;weiss;zylindrisch;normal;weiss;genattert;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parasol;nein;gebuckelt;kugelig;schuppig;Lamellen;weiss;nein;nein;hellbraun;zylindrisch;normal;bräunlich;genattert;graubraun;ja;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Safranschirmling;nein;ausgestreckt;kugelig;schuppig;Lamellen;weiss;ja;orangerot;dunkelbraun;zylindrisch;knolle;weiss;normal;nein;ja;nein;ja;weiss;ja;orangerot;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Safranschirmling;nein;ausgestreckt;kugelig;schuppig;Lamellen;weiss;ja;orangerot;hellbraun;zylindrisch;knolle;cremefarben;normal;nein;ja;nein;ja;weiss;ja;safranbraun;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grüner Knollenblätterpilz;nein;gewölbt;halbkugelig;glatt;Lamellen;weiss;nein;nein;olivgrün;zylindrisch;knolle;weiss;genattert;weiss;ja;ja;ja;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grüner Knollenblätterpilz;nein;gewölbt;halbkugelig;glatt;Lamellen;weiss;nein;nein;grün;zylindrisch;knolle;weiss;genattert;weiss;ja;ja;ja;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grüner Knollenblätterpilz;nein;gewölbt;halbkugelig;glatt;Lamellen;weiss;nein;nein;weissgrün;zylindrisch;knolle;weiss;genattert;weiss;ja;ja;ja;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grüner Knollenblätterpilz;nein;gewölbt;halbkugelig;glatt;Lamellen;weiss;nein;nein;grünlich;zylindrisch;knolle;weiss;genattert;weiss;ja;ja;ja;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kegelhütiger Knollenblätterpilz;nein;gewölbt;eifoermig;schmierig;Lamellen;weiss;nein;nein;weiss;zylindrisch;knolle;weiss;schuppig;weiss;ja;ja;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kegelhütiger Knollenblätterpilz;nein;kegelig;eifoermig;glatt;Lamellen;weiss;nein;nein;weiss;zylindrisch;knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kegelhütiger Knollenblätterpilz;nein;kegelig;eifoermig;glatt;Lamellen;weiss;nein;nein;weiss;zylindrisch;knolle;weiss;schuppig;weiss;ja;ja;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fliegenpilz;nein;ausgestreckt;halbkugelig;Huellreste;Lamellen;weiss;nein;nein;rot;zylindrisch;knolle;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pantherpilz;nein;ausgestreckt;kugelig;huellreste;Lamellen;weiss;nein;nein;graubraun;zylindrisch;knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pantherpilz;nein;ausgestreckt;kugelig;huellreste;Lamellen;weiss;nein;nein;gelbbraun;zylindrisch;knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falscher Pfifferling;nein;trichterförmig;gewölbt;glatt;Lamellen;orangegelb;nein;nein;orangefarben;zylindrisch;normal;orangegelb;normal;nein;nein;nein;nein;orange;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
