klasse;busch;hutFormAlt;hutFormJung;hutOberflaeche;hutUnterseite;hutUnterseiteFarbe;huVerfaerbung;huVerfaerbungFarbe;hutFarbe;stielForm;stielBasis;stielFarbe;stielOberflaeche;stielNetzFlockenFarbe;stielRing;stielBasisVolva;stielHohl;fleischFarbe;fleischVerfaerbung;fleischVerfaerbungFarbe;geruch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gelber Knollenblätterpillz;nein;gewölbt;halbkugelig;normal;Lamellen;weiss;nein;nein;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gelber Knollenblätterpillz;nein;gewölbt;halbkugelig;normal;Lamellen;gelblich;nein;nein;zitronengelb;zylindrisch;Knolle;gelblich;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grünblättriger Schirmpilz;nein;gebuckelt;eifoermig;schuppig;Lamellen;grünlich;ja;grau;weiss;zylindrisch;knolle;bräunlich;normal;nein;ja;nein;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grünblättriger Schirmpilz;nein;gebuckelt;eifoermig;schuppig;Lamellen;olivgrün;ja;dunkelgrau;weiss;zylindrisch;knolle;bräunlich;normal;nein;ja;nein;nein;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Karbolchampignon;nein;gewölbt;eifoermig;normal;Lamellen;dunkelbraun;nein;nein;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;ja;gelb;unangenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Karbolchampignon;nein;gewölbt;eifoermig;normal;Lamellen;rosagrau;nein;nein;weissgrau;zylindrisch;Knolle;weissgrau;normal;nein;ja;nein;nein;weiss;ja;gelb;unangenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maronenröhrling;nein;gewölbt;halbkugelig;glatt;Poren;weiss;ja;blau;dunkelbraun;zylindrisch;normal;braun;normal;nein;nein;nein;nein;weiss;ja;blau;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maronenröhrling;nein;gewölbt;halbkugelig;glatt;Poren;gelb;ja;blau;rotbraun;zylindrisch;normal;bräunlich;normal;nein;nein;nein;nein;weiss;ja;blau;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pantherpilz;nein;gewölbt;halbkugelig;Huellreste;Lamellen;weiss;nein;nein;mattbraun;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parasol;nein;gebuckelt;eifoermig;schuppig;Lamellen;weiss;nein;nein;bräunlich;zylindrisch;Knolle;bräunlich;genattert;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
